timestamp,local_x,local_y,local_z
1643292946686577,0.000,0.000,0.000
1643292946788769,0.384,1.339,-0.119
1643292946879535,0.769,2.611,-0.176
1643292946980368,1.187,3.935,-0.303
1643292947081215,1.575,5.201,-0.368
1643292947181961,1.575,5.202,-0.368
1643292947286113,1.973,6.524,-0.465
1643292947381544,2.416,7.879,-0.532
1643292947482343,2.808,9.182,-0.640
1643292947584383,3.199,10.442,-0.710
1643292947686246,3.619,11.782,-0.784
1643292947787162,4.041,13.126,-0.918
1643292947881902,4.443,14.491,-0.977
1643292947985491,4.939,15.987,-1.086
1643292948076522,5.333,17.303,-1.196
1643292948187384,5.803,18.724,-1.244
1643292948288244,6.265,20.263,-1.395
1643292948380208,6.790,21.855,-1.486
1643292948481046,7.268,23.381,-1.601
1643292948582539,7.752,24.894,-1.714
1643292948685867,8.270,26.495,-1.815
1643292948781182,8.764,28.076,-1.933
1643292948882521,9.273,29.651,-2.019
1643292948984870,9.741,31.096,-2.119
1643292949085719,10.225,32.597,-2.218
1643292949181656,10.225,32.598,-2.218
1643292949283240,10.795,34.437,-2.365
1643292949384931,11.308,35.943,-2.398
1643292949475818,11.788,37.421,-2.488
1643292949586553,12.271,38.925,-2.642
1643292949679470,12.775,40.431,-2.649
1643292949780277,13.273,41.929,-2.778
1643292949882498,13.782,43.463,-2.891
1643292949986210,14.317,45.068,-2.948
1643292950086995,14.838,46.612,-3.042
1643292950177519,14.838,46.614,-3.042
1643292950278687,15.341,48.114,-3.171
1643292950379427,15.880,49.684,-3.211
1643292950480155,16.390,51.184,-3.301
1643292950580911,16.950,52.798,-3.382
1643292950681529,17.491,54.405,-3.461
1643292950782531,18.016,55.930,-3.520
1643292950885052,18.521,57.430,-3.628
1643292950985790,19.050,58.919,-3.675
1643292951086532,19.536,60.393,-3.765
1643292951187306,19.536,60.394,-3.765
1643292951277948,20.018,61.773,-3.790
1643292951378831,20.482,63.088,-3.852
1643292951479538,20.953,64.413,-3.866
1643292951580246,21.421,65.705,-3.895
1643292951681118,21.889,67.011,-3.921
1643292951781860,22.335,68.278,-3.944
1643292951882687,22.802,69.577,-3.976
1643292951984632,23.286,70.896,-4.018
1643292952085726,23.745,72.157,-4.031
1643292952186497,24.213,73.409,-4.087
1643292952277089,24.213,73.410,-4.087
1643292952377737,24.711,74.821,-4.188
1643292952478448,25.217,76.222,-4.335
1643292952579248,25.696,77.588,-4.420
1643292952679996,26.192,78.946,-4.560
1643292952780739,26.684,80.311,-4.694
1643292952881447,27.177,81.658,-4.808
1643292952982272,27.667,83.012,-4.925
1643292953082983,28.147,84.344,-5.043
1643292953184589,28.635,85.674,-5.155
1643292953285494,29.086,86.846,-5.211
1643292953386210,29.539,88.018,-5.268
1643292953487086,29.997,89.206,-5.334
1643292953577808,30.445,90.372,-5.386
1643292953678597,30.881,91.514,-5.437
1643292953779334,31.320,92.617,-5.487
1643292953880981,31.745,93.714,-5.538
1643292953982357,32.193,94.844,-5.572
1643292954083956,32.626,95.976,-5.612
1643292954174603,33.069,97.095,-5.661
1643292954275427,33.070,97.096,-5.661
1643292954376234,33.614,98.444,-5.654
1643292954476931,34.147,99.817,-5.622
1643292954577830,34.683,101.196,-5.632
1643292954678595,35.210,102.567,-5.582
1643292954779299,35.741,103.980,-5.597
1643292954890056,36.300,105.362,-5.547
1643292954980809,36.828,106.733,-5.547
1643292955081519,37.362,108.109,-5.515
1643292955182235,37.363,108.110,-5.515
1643292955283906,37.810,109.348,-5.535
1643292955385016,38.264,110.590,-5.571
1643292955485761,38.724,111.807,-5.579
1643292955586831,39.162,113.015,-5.602
1643292955677773,39.609,114.258,-5.615
1643292955778563,40.052,115.496,-5.635
1643292955879284,40.498,116.721,-5.677
1643292955980053,40.927,117.953,-5.650
1643292956080879,41.360,119.160,-5.681
1643292956181565,41.361,119.161,-5.681
1643292956282295,41.843,120.406,-5.680
1643292956382974,42.311,121.646,-5.670
1643292956484983,42.773,122.898,-5.687
1643292956575650,43.243,124.127,-5.658
1643292956676327,43.714,125.382,-5.668
1643292956777076,44.191,126.627,-5.637
1643292956888048,44.665,127.855,-5.626
1643292956978698,45.144,129.127,-5.612
1643292957080141,45.621,130.385,-5.601
1643292957180869,45.621,130.386,-5.601
1643292957281625,46.104,131.662,-5.598
1643292957382333,46.581,132.975,-5.562
1643292957483702,47.071,134.265,-5.598
1643292957585564,47.565,135.574,-5.520
1643292957686202,48.072,136.860,-5.561
1643292957786875,48.560,138.186,-5.536
1643292957877613,49.053,139.488,-5.511
1643292957979283,49.548,140.794,-5.531
1643292958080032,50.070,142.106,-5.498
1643292958181018,50.070,142.107,-5.498
1643292958281888,50.563,143.374,-5.479
1643292958382589,51.068,144.704,-5.483
1643292958474666,51.565,146.039,-5.468
1643292958575722,52.064,147.366,-5.459
1643292958676518,52.574,148.696,-5.441
1643292958777344,53.087,150.072,-5.438
1643292958878103,53.592,151.407,-5.434
1643292958979704,54.093,152.755,-5.419
1643292959080633,54.595,154.103,-5.414
1643292959181442,54.595,154.104,-5.414
1643292959282405,55.096,155.452,-5.411
1643292959373367,55.598,156.791,-5.422
1643292959475129,56.120,158.123,-5.406
1643292959575948,56.628,159.451,-5.411
1643292959676613,57.141,160.821,-5.414
1643292959777386,57.653,162.152,-5.392
1643292959878063,58.156,163.496,-5.395
1643292959979635,58.687,164.834,-5.376
1643292960080327,59.211,166.221,-5.389
1643292960181164,59.212,166.222,-5.389
1643292960281931,59.749,167.597,-5.376
1643292960382891,60.268,168.916,-5.354
1643292960484605,60.818,170.286,-5.349
1643292960575565,61.349,171.637,-5.337
1643292960676435,61.896,173.005,-5.325
1643292960777244,62.412,174.336,-5.326
1643292960878686,62.954,175.703,-5.304
1643292960979360,63.453,177.024,-5.300
1643292961080062,64.008,178.413,-5.285
1643292961180747,64.009,178.414,-5.285
1643292961281517,64.527,179.772,-5.236
1643292961372482,65.046,181.086,-5.177
1643292961473314,65.586,182.428,-5.027
1643292961574811,66.084,183.757,-4.932
1643292961675575,66.623,185.148,-4.899
1643292961776355,67.142,186.477,-4.764
1643292961877168,67.654,187.824,-4.718
1643292961978032,68.189,189.157,-4.627
1643292962079309,68.687,190.485,-4.537
1643292962180119,68.688,190.487,-4.537
1643292962280907,69.179,191.796,-4.505
1643292962381724,69.665,193.087,-4.488
1643292962482543,70.154,194.401,-4.476
1643292962583244,70.643,195.719,-4.409
1643292962674854,71.107,197.023,-4.448
1643292962775760,71.604,198.334,-4.395
1643292962876791,72.087,199.651,-4.457
1643292962977603,72.577,200.965,-4.420
1643292963078272,73.092,202.263,-4.410
1643292963179106,73.092,202.264,-4.410
1643292963280255,73.593,203.594,-4.426
1643292963381217,74.096,204.898,-4.353
1643292963482186,74.588,206.166,-4.322
1643292963583018,75.077,207.481,-4.270
1643292963683666,75.580,208.757,-4.244
1643292963775640,76.076,210.069,-4.184
1643292963876367,76.561,211.367,-4.160
1643292963977102,77.054,212.659,-4.089
1643292964078526,77.531,213.951,-4.080
1643292964179232,77.531,213.952,-4.080
1643292964280013,78.018,215.266,-4.057
1643292964380837,78.496,216.605,-4.028
1643292964481917,78.983,217.934,-3.992
1643292964582650,79.458,219.269,-3.971
1643292964683292,79.934,220.595,-3.913
1643292964784553,80.413,221.944,-3.884
1643292964885346,80.888,223.284,-3.851
1643292964976144,81.354,224.619,-3.799
1643292965076815,81.841,225.962,-3.761
1643292965177551,81.841,225.963,-3.761
1643292965278238,82.314,227.300,-3.697
1643292965378996,82.771,228.652,-3.579
1643292965479775,83.245,229.998,-3.422
1643292965580667,83.718,231.378,-3.338
1643292965681353,84.179,232.741,-3.237
1643292965782166,84.635,234.110,-3.132
1643292965873066,85.107,235.495,-3.001
1643292965983771,85.548,236.875,-2.864
1643292966085910,86.057,238.287,-2.771
1643292966176491,86.057,238.288,-2.771
1643292966277159,86.485,239.558,-2.691
1643292966377857,86.888,240.818,-2.655
1643292966478508,87.311,242.091,-2.585
1643292966579686,87.699,243.375,-2.556
1643292966680460,88.124,244.674,-2.494
1643292966781288,88.510,245.967,-2.451
1643292966882023,88.918,247.277,-2.411
1643292966982880,89.319,248.582,-2.352
1643292967073751,89.718,249.898,-2.319
1643292967175815,90.123,251.235,-2.273
1643292967276502,90.556,252.749,-2.232
1643292967377212,91.011,254.281,-2.158
1643292967477980,91.441,255.803,-2.108
1643292967578736,91.869,257.324,-2.037
1643292967679878,92.292,258.864,-1.998
1643292967780583,92.728,260.389,-1.923
1643292967881343,93.152,261.930,-1.887
1643292967972051,93.564,263.472,-1.804
1643292968072808,93.960,265.030,-1.771
1643292968174114,93.960,265.031,-1.771
1643292968276182,94.341,266.570,-1.748
1643292968376894,94.753,268.134,-1.706
1643292968477567,95.136,269.695,-1.694
1643292968578264,95.527,271.285,-1.640
1643292968678936,95.899,272.835,-1.635
1643292968779850,96.292,274.438,-1.579
1643292968880547,96.659,276.037,-1.574
1643292968981470,97.066,277.654,-1.513
1643292969082259,97.419,279.231,-1.475
1643292969182978,97.419,279.232,-1.475
1643292969283785,97.775,280.830,-1.360
1643292969375972,98.157,282.482,-1.265
1643292969476809,98.512,284.102,-1.151
1643292969577501,98.893,285.744,-1.039
1643292969679064,99.249,287.384,-0.945
1643292969779932,99.605,289.024,-0.822
1643292969880557,99.971,290.686,-0.708
1643292969981319,100.324,292.336,-0.654
1643292970082177,100.662,293.979,-0.465
1643292970183115,100.663,293.981,-0.465
1643292970273918,100.941,295.507,-0.472
1643292970376028,101.225,297.040,-0.381
1643292970476932,101.510,298.596,-0.382
1643292970578651,101.774,300.119,-0.353
1643292970679538,102.058,301.695,-0.333
1643292970780374,102.334,303.240,-0.331
1643292970881079,102.602,304.800,-0.272
1643292970981850,102.857,306.348,-0.302
1643292971082589,103.124,307.916,-0.244
1643292971174036,103.381,309.502,-0.242
1643292971276587,103.381,309.504,-0.242
1643292971377327,103.682,311.266,-0.167
1643292971478864,103.980,313.053,-0.154
1643292971579654,104.285,314.821,-0.105
1643292971680539,104.585,316.596,-0.072
1643292971781196,104.885,318.370,-0.042
1643292971881819,105.196,320.145,-0.015
1643292971982637,105.508,321.934,0.024
1643292972083337,105.818,323.717,0.044
1643292972184016,106.143,325.513,0.081
1643292972275945,106.144,325.514,0.081
1643292972377142,106.452,327.324,0.049
1643292972477964,106.775,329.125,0.027
1643292972579320,107.098,330.940,0.009
1643292972680140,107.426,332.757,-0.039
